number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout,params_gammar,params_hidden_dim,params_learning_rate,params_num_layers,state
68,0.7031877040863037,2024-03-29 20:49:56.955141,2024-03-29 20:50:12.953734,0 days 00:00:15.998593,4,False,0.451910670247733,0.06800615973339783,64,1.0848047704227059e-05,3,COMPLETE
69,0.40959250926971436,2024-03-29 20:50:12.954907,2024-03-29 20:50:27.660368,0 days 00:00:14.705461,2,False,0.1428857996904104,0.08432556146676534,64,0.005107274694542825,1,COMPLETE
70,0.5488452911376953,2024-03-29 20:50:27.660368,2024-03-29 20:50:55.259367,0 days 00:00:27.598999,2,False,0.33753446576301593,0.0407162529295043,64,0.00236285168017052,3,COMPLETE
71,0.6423085331916809,2024-03-29 20:50:55.259870,2024-03-29 20:51:07.619308,0 days 00:00:12.359438,2,False,0.13554630414208474,0.08430360284629378,64,4.9635965377496463e-05,1,COMPLETE
72,0.4112294614315033,2024-03-29 20:51:07.619810,2024-03-29 20:51:20.189695,0 days 00:00:12.569885,2,False,0.07900034662328476,0.06154249844324658,64,0.005609454986580508,1,COMPLETE
73,0.42045697569847107,2024-03-29 20:51:20.190695,2024-03-29 20:51:33.727570,0 days 00:00:13.536875,2,False,0.008431240780392146,0.0680973293966533,64,0.013551022354604546,1,COMPLETE
74,0.445386677980423,2024-03-29 20:51:33.728571,2024-03-29 20:51:48.607207,0 days 00:00:14.878636,2,False,0.1435411391419798,0.08690019046812292,64,0.008097240665619588,1,COMPLETE
75,0.43142977356910706,2024-03-29 20:51:48.608208,2024-03-29 20:52:00.919541,0 days 00:00:12.311333,2,False,0.1048871921619796,0.020101757032410857,64,0.003768769888824896,1,COMPLETE
76,0.6703354716300964,2024-03-29 20:52:00.919541,2024-03-29 20:52:22.563830,0 days 00:00:21.644289,2,False,0.0380867540919374,0.01403372716792853,64,0.023642396590596092,4,COMPLETE
77,0.4170767366886139,2024-03-29 20:52:22.564830,2024-03-29 20:52:46.999592,0 days 00:00:24.434762,2,True,0.29695143674427615,0.07649742331176033,64,0.005539952901653331,1,COMPLETE
78,0.6628421545028687,2024-03-29 20:52:47.000594,2024-03-29 20:52:54.592262,0 days 00:00:07.591668,16,False,0.37340417618067645,0.057605466735766636,256,0.002828572889363078,1,COMPLETE
79,0.6675435304641724,2024-03-29 20:52:54.593337,2024-03-29 20:53:00.923205,0 days 00:00:06.329868,8,False,0.349365845506656,0.02617170742715745,128,0.00961376421537895,1,COMPLETE
80,0.4577595889568329,2024-03-29 20:53:00.925206,2024-03-29 20:53:46.278039,0 days 00:00:45.352833,2,False,0.32666424960019735,0.09666765906523743,128,0.0012014530119602964,3,COMPLETE
81,0.5258206725120544,2024-03-29 20:53:46.279042,2024-03-29 20:54:16.735965,0 days 00:00:30.456923,2,False,0.283526453079185,0.08281122702956897,64,0.011804640140568427,3,COMPLETE
82,0.4972188472747803,2024-03-29 20:54:16.736966,2024-03-29 20:54:49.928972,0 days 00:00:33.192006,2,False,0.2845152937791833,0.07483293191536328,64,0.007698046120395527,3,COMPLETE
83,0.43462833762168884,2024-03-29 20:54:49.930338,2024-03-29 20:55:09.376328,0 days 00:00:19.445990,2,False,0.21637514503223348,0.08611765221708893,64,0.019801026825380024,3,COMPLETE
84,0.4243305027484894,2024-03-29 20:55:09.377328,2024-03-29 20:55:42.498177,0 days 00:00:33.120849,2,False,0.2558960577237056,0.0996286205488085,64,0.006634610512002729,3,COMPLETE
85,0.4220445454120636,2024-03-29 20:55:42.498681,2024-03-29 20:56:10.294888,0 days 00:00:27.796207,2,False,0.3084054738721004,0.04730810847897348,64,0.0064324565134200535,3,COMPLETE
86,0.427516371011734,2024-03-29 20:56:10.294888,2024-03-29 20:56:20.836815,0 days 00:00:10.541927,2,False,0.2962006807828922,0.058786224607774475,128,0.000690257081838785,1,COMPLETE
87,0.5567202568054199,2024-03-29 20:56:20.837816,2024-03-29 20:56:31.193875,0 days 00:00:10.356059,4,False,0.35317807306981347,0.07296369107947086,128,0.004543400150818416,1,COMPLETE
88,0.4181915819644928,2024-03-29 20:56:31.194875,2024-03-29 20:57:10.170051,0 days 00:00:38.975176,2,False,0.17167261487001972,0.05308838446676378,128,0.013496538810634923,3,COMPLETE
89,0.4440378248691559,2024-03-29 20:57:10.171051,2024-03-29 20:57:31.633664,0 days 00:00:21.462613,2,True,0.3978040345858457,0.06693504176756397,64,0.00039182484209850484,1,COMPLETE
90,0.579684853553772,2024-03-29 20:57:31.634665,2024-03-29 20:58:03.498462,0 days 00:00:31.863797,2,False,0.3340149487669047,0.08843590766713534,128,0.07092952705388415,3,COMPLETE
91,0.43604567646980286,2024-03-29 20:58:03.499463,2024-03-29 20:58:19.587936,0 days 00:00:16.088473,2,False,0.3169915968749756,0.04523823259654427,128,0.016509918072120707,2,COMPLETE
92,0.404042512178421,2024-03-29 20:58:19.588938,2024-03-29 20:58:38.601999,0 days 00:00:19.013061,2,False,0.31975861196386574,0.050484466220718484,128,0.03185175102915895,2,COMPLETE
